FIRST SEEN,FILE TYPE,COUNTRY,SIZE,SIGNATURE,SHA256,DELIVERY METHOD
2023-03-23 15:38:56,one,,268308,Heodo,755181606486f4af669a5ca05724415bea2b504e342d9fc4f509a911d1b11415,email_attachment
2023-03-23 15:38:54,one,,268308,Heodo,e0f279917c0f6926bff87f75e39dc30b44cf7bc940e807755544b978bfd9b12c,email_attachment
2023-03-23 15:38:42,one,,268308,Heodo,4e947b80c994a925917433853efd26f8a2eb6fed085c2fbb04ab40c142499382,email_attachment
2023-03-23 15:38:40,one,,268308,Heodo,756b61f3bd563d0e477e3e7623ef33f0037a23ffd00216763918d60f979d296a,email_attachment
2023-03-23 15:38:38,exe,,1672192,,dc89fb6fea674bafdb5f7945ece7ba57090647996caee4fd06e7f2a4c20fe4ea,email_attachment
2023-03-23 15:38:36,zip,,1283742,,36d316939aee0556877f24d79783a56b31d9b0b3b7c371be59c0074683d77430,email_attachment
2023-03-23 15:37:23,exe,,770171,ManusCrypt,59a07e2c448afe8d96a5f79968d7ede52d409d9d36d7a77eaa190c5c70cf3f32,web_drive-by
2023-03-23 15:35:24,exe,,642348,NanoCore,a898127d2c98fda1751d317cdf3a1d85f79de8fe762edb2415ec04e7c1c53a6f,
2023-03-23 15:32:20,dll,,438272,,3f6a0ee17f24285fea7a32bb660648d4d680674bc739cebb3d23187fe579a818,
2023-03-23 15:30:18,js,CH,18748,Guildma,b681dd6deabc48ddb4c2c5c0623a2d82ddb3e0a1dfbf4d6a15f12eea96c3e2dc,web_download
2023-03-23 15:30:15,lnk,CH,477,Guildma,a270f1e32950e88e8cf63758f37646c0df7d7a1e61536e0a225d8b05d630e898,web_download
2023-03-23 15:30:11,cmd,CH,301,Guildma,7e03f5300a40755f723f43143bc4b72a59b67edf9f66a5b3d7d845aa125a0a24,web_download
2023-03-23 15:25:24,exe,,655360,Loki,9dc06019847eb815cd4e5db3d870013d052888aa6a9785fc85e10b57d10b84e4,
2023-03-23 15:24:36,elf,,57550,Mirai,1476d80c4bb47205521a2cff3c9375b799a50a0fcd20fa2f9294f99700144714,web_download
2023-03-23 15:15:32,html,IT,4159,,0f63d8fd2e6619bc402689077f7690f4effd77cb67c68868a7eb0f147269c97c,
2023-03-23 15:15:11,js,IT,103783,,6f82810bc3c447044b02215b5c22bd26fa40cecab46159e680a161ae8c23c319,
2023-03-23 14:58:55,exe,,871424,AgentTesla,d9136458c333f03b11beaaec3388aa1bd3afad5b5f6920fa992b8e5c05b8c62b,web_download
2023-03-23 14:58:47,elf,,58740,Mirai,58919bdb32774645163f19df8c173eda098160247f7d843e44faef0438d8aa8d,web_download
2023-03-23 14:58:42,rtf,,13567,AgentTesla,56a430942d5fb84a87534dbbaa517c1193504c2677e3ceb9009e41d75271785f,web_download
2023-03-23 14:58:36,elf,,40744,Mirai,cf9cfa22538b37c90785bd698c94fb605a78f309cd991d694749a1c2fa65a245,web_download
2023-03-23 14:58:30,elf,,66900,Mirai,d105546da3df5ad5c56962e73ff159cbe181a798751e7a492523d29c83c2c5ce,web_download
2023-03-23 14:58:24,elf,,55632,Mirai,81a62fed1b4ca5ac39ca6773fb07c0473b1433fc8906ef7c11cd670ad330a073,web_download
2023-03-23 14:58:18,elf,,79160,Mirai,f01db006ba638c2d067fa99f3c87c8c534d8ac27d6cad5813697e40aa9242a73,web_download
2023-03-23 14:58:11,elf,,84780,Mirai,3d82fca874c21d05239a797cf46d4abf6ce2f2b83e962cf9be98df9fed918822,web_download
2023-03-23 14:58:03,elf,,62988,Mirai,ae225854416607f1b62e673e1f4c4f0fde36a4d4bd7ac468e2dedffad2002d04,web_download
2023-03-23 14:57:55,elf,,67312,Mirai,40d74090253f36b6a22ac291e39d31d16a3ef428b0d06dcb116604426fdec514,web_download
2023-03-23 14:57:48,elf,,84780,Mirai,5badf02f86cf61971685cc074d180be26fd9d63e652b6f7e1efb7216e40db67f,web_download
2023-03-23 14:57:40,elf,,150610,Mirai,fda8598a13eb66198cf16beedc09c8fa3f03e19f4d714856dc5f142e0c1cb732,web_download
